id,concepto,coste_por_unidad
1,"Reparación de baldosa suelta (unidad)",25.50
2,"Sustitución de cristal de ventana (por m²)",85.00
3,"Arreglo de tarima flotante levantada (por m²)",45.00
4,"Reparación de cisterna de WC (mecanismo completo)",75.00
5,"Instalación de punto de luz simple",60.00
6,"Cambio de grifo monomando de cocina",90.00
7,"Reparación de persiana atascada (cinta)",55.00
8,"Pintura de pared interior (por m²)",12.50
9,"Arreglo de enchufe quemado",48.00
10,"Sellado de junta de bañera con silicona",40.00
11,"Montaje de mueble tipo IKEA (por hora)",35.00
12,"Instalación de lámpara de techo",65.00
13,"Reparación de grieta superficial en pared (por metro)",22.00
14,"Sustitución de bombín de cerradura",70.00
15,"Desatasco de fregadero o lavabo",80.00
16,"Instalación de campana extractora",110.00
17,"Colocación de estantería en pared",45.00
18,"Lijado y barnizado de puerta de madera",150.00
19,"Reparación de radiador que gotea (junta)",95.00
20,"Instalación de termo eléctrico (50L)",180.00
21,"Sustitución de interruptor de luz",42.00
22,"Arreglo de manilla de puerta suelta",35.00
23,"Instalación de cortina o estor",50.00
24,"Reparación de desconchón en pared",38.50
25,"Purga de radiadores (por unidad)",15.00
26,"Instalación de ventilador de techo",130.00
27,"Reparación de rodapié despegado (por metro)",18.00
28,"Sustitución de manguera de ducha",30.00
29,"Instalación de placa vitrocerámica",95.00
30,"Reparación de bisagra de armario rota",40.00
31,"Limpieza de filtro de aire acondicionado",55.00
32,"Aplicación de capa de yeso (por m²)",28.00
33,"Instalación de telefonillo o videoportero",200.00
34,"Reparación de teja rota (unidad)",60.00
35,"Sellado de filtración en marco de ventana",70.00
36,"Instalación de toma de antena de TV",58.00
37,"Nivelación de puerta que roza",45.00
38,"Arreglo de cajón que no cierra",33.00
39,"Sustitución de alcachofa de ducha",25.00
40,"Instalación de detector de humos",50.00
41,"Tratamiento de mancha de humedad (por m²)",90.00
42,"Instalación de espejo de baño",40.00
43,"Reparación de timbre de entrada",48.00
44,"Sustitución de goma de frigorífico",85.00
45,"Colocación de césped artificial (por m²)",35.00
46,"Reparación de gotera en tubería de PVC",120.00
47,"Instalación de horno eléctrico",100.00
48,"Montaje de pérgola de jardín",350.00
49,"Instalación de programador de riego",80.00
50,"Sustitución de filtro de ósmosis",65.00